Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Program,Trash Collection Type,Trash Collection Method,Trash Disposal Tonnage,Bulky Waste,School Waste,Municipal Building Waste,Commercial Waste,Other Waste,Recycling Collection Type,Recycling Collection Method,Recycling - Dual or Single Stream,Recycling Tonnage
SOUTHWICK,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Spencer,"Steven J. Tyler, P.E., Superintendent of Utilities & Facilities",5450,2568,Drop-off,"Other (including drop-off, subscription, and manual)",1800,Y,Y,Y,Y,,Drop-off,"Other (including drop-off, subscription, no service, and manual)",Dual stream,541
Springfield,Greg Superneau,62000,44000,Curbside,Automated,44700,,,Y,,,Curbside,Semi-automated,Single stream,4700
STERLING,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
STOCKBRIDGE,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Stoneham,Dan Dragani,22200,8000,Curbside,,8465,Y,Y,Y,,,Curbside,,Dual stream,1511
STOUGHTON,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
STOW,--- Did Not Report ---,,0,Subscription,,0,,,,,,Subscription,,,0
Sturbridge,Linda Cocalis,4000,1600,Drop off,,814,Y,,,,,Drop off,,Dual stream,268
SUDBURY,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Sunderland,Jan Ameen,1113,0,Subscription,,0,,,,,,Subscription,,,0
Sutton,Mark Brigham,3695,1008,Drop off,,574,Y,,,,,Drop off,,Single stream,332
Swampscott,Jeff Vaughan,5690,4960,Curbside,,4974,Y,Y,Y,Y,waste from parks and beaches,Curbside,Semi-automated,Dual stream,1109
SWANSEA,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Taunton,Angela Santos,23000,17163,Curbside,,13605,Y,Y,Y,,,Curbside,,Dual stream,4013
Templeton,Joyce E. Crouse,3500,0,Subscription,,0,,,,,,Subscription,,,0
Tewksbury,Richard Montuori,10434,9820,Curbside,Automated,10000,Y,Y,Y,,,Curbside,"Other (including drop-off, subscription, no service, and manual)",Dual stream,1934
TISBURY,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
TOLLAND,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
TOPSFIELD,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Townsend,Carla Walter,3436,3200,Curbside,,3044,,,Y,,,Curbside,,Dual stream,593
TRURO,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
TYNGSBOROUGH,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
TYRINGHAM,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
UPTON,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
UXBRIDGE,--- Did Not Report ---,,0,Subscription,,0,,,,,,Drop off,,,0
WAKEFIELD,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
WALES,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Walpole,Robin Chapell,8400,7400,Curbside,,7417,Y,Y,Y,,,Curbside,,Dual stream,1743
Waltham,Eileen Zubrowski,24000,16322,Curbside,,20660,,Y,Y,,,Curbside,,Dual stream,3808
WARE,--- Did Not Report ---,,0,Subscription,,0,,,,,,Subscription,,,0
Wareham,Marilyn Field,14000,14000,Drop off,,14169,Y,Y,Y,,,Drop off,,,1486
Warren,Robert Downing,5000,650,Drop off,,780,Y,,,,,Drop off,,,251
Warwick,Jan Ameen,262,250,Drop off,,108,,,,,,Drop off,,Dual stream,67
WASHINGTON,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Watertown,"Gerald S. Mee, Jr.",15148,14240,Curbside,,10994,,Y,Y,Y,,Curbside,,Dual stream,1982
WAYLAND,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
WEBSTER,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Wellesley,Gordon Martin,8182,8182,Drop off,,8066,Y,,Y,Y,,Drop off,,,5252
Wellfleet,Mark Vincent,4354,4354,Drop off,,2490,Y,Y,Y,Y,,Drop off,,Dual stream,1165
